OT,Plan de facturacion,Estrato,promedio_36m,desv_36m,max_36m,min_36m,promedio_6m_1m,desv_6m_1m,max_6m_1m,min_6m_1m,promedio_12m_6m,desv_12m_6m,max_12m_6m,min_12m_6m,promedio_24m_12m,desv_24m_12m,max_24m_12m,min_24m_12m,promedio_36m_24m,desv_36m_24m,max_36m_24m,min_36m_24m,Caida_Inicio,Caida_Fin,LongitudCaida,CantidadCaidas,Prom_AntesCaida,Desv_AntesCaida,Max_AntesCaida,Min_AntesCaida,Prom_DespuesCaida,Desv_DespuesCaida,Max_DespuesCaida,Min_DespuesCaida,ConsumosCero,ConsumosDecimal,Resultado
4562742,Plan 204,Estrato 3,21.06861111111111,6.991463019907218,31.0,2.0,12.5,7.9435508432942,24.0,2.0,25.0,1.8257418583505538,29.0,24.0,25.53846153846154,2.569545505058064,31.0,23.0,19.19,6.287551192634538,26.0,7.0,MES -5,MES -1,5,1,22.1709375,6.344569212806631,31.0,2.0,6.0,0.0,6.0,6.0,0,3,Fraude
4685551,Plan 204,Estrato 2,7.194444444444445,3.5198980865477543,19.0,3.0,9.833333333333334,1.7224014243685084,12.0,7.0,8.571428571428571,2.819996622760558,12.0,4.0,7.769230769230769,4.675358206487965,19.0,3.0,4.846153846153846,0.987096233585649,7.0,4.0,sin caida,sin caida,0,0,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,Sin Caida,0,0,Fraude
4630304,Plan 123,Estrato -1,9.710555555555555,4.449163609645843,19.0,3.0,8.535,4.4523420802988625,13.96,3.0,7.428571428571429,5.68205194324324,19.0,3.0,12.538461538461538,3.843075691322091,19.0,7.0,8.720769230769232,4.037070847240735,19.0,6.0,MES -10,MES -6,5,1,10.458148148148148,4.321272135256123,19.0,4.0,8.535,4.064413651848608,13.96,3.0,0,5,Fraude
4647545,Plan 123,Estrato -1,407.6191666666667,185.5652760986587,711.0,69.0,214.5,78.66066361276137,282.0,69.0,287.57142857142856,14.432107063270914,312.0,270.0,363.8976923076923,171.99451784644407,621.0,162.0,596.2015384615386,59.3285599923783,711.0,465.0,MES -20,MES -1,20,1,572.5658823529412,113.24374020143316,711.0,166.85999999999999,243.0,0.0,243.0,243.0,0,7,Fraude
5551363,Plan 204,Estrato 3,13.027777777777779,1.4635790009642429,16.0,9.0,13.666666666666666,1.632993161855452,16.0,11.0,13.428571428571429,1.3972762620115438,16.0,12.0,12.23076923076923,1.4806443503784736,15.0,9.0,13.461538461538462,1.0500305245868344,15.0,12.0,MES -23,MES -16,8,2,13.142857142857142,1.5050933932646768,15.0,9.0,13.4375,1.3213984069916234,16.0,11.0,0,0,Fraude
5670750,Plan 123,Estrato -1,559.4166666666666,101.85939188060036,721.0,326.0,625.6666666666666,25.570816699250468,666.0,586.0,637.8571428571429,56.24775127780242,721.0,549.0,502.0,103.66452302178087,651.0,326.0,551.0,98.19538346242828,665.0,401.0,MES -28,MES -16,13,1,605.3333333333334,51.41335753803026,665.0,471.0,617.0625,52.74759325078254,721.0,520.0,0,0,Normal
5043400,Plan 7,Estrato 6,7.845833333333335,5.787307479056462,20.0,0.0,10.625,6.390911515582109,17.0,0.0,6.5600000000000005,5.178545484335667,13.29,0.0,6.785384615384615,5.223931494230208,15.0,0.0,8.2,6.183546716893146,20.0,0.25,MES -13,MES -11,3,1,7.740833333333332,5.684461215063004,20.0,0.0,8.24,5.965561773439889,17.0,0.0,4,11,Normal
5309325,Plan 123,Estrato -1,17.839999999999996,10.949124165886511,39.0,0.0,1.8616666666666666,2.0781762838283635,4.17,0.0,19.142857142857142,11.275764148954924,37.0,4.0,23.846153846153847,8.039964281078968,39.0,11.0,17.928461538461537,9.28485491374156,39.0,8.0,MES -10,MES -1,10,2,21.706296296296294,9.019895354631604,39.0,8.0,4.17,0.0,4.17,4.17,3,5,Normal
5006496,Plan 204,Estrato 2,6.8180555555555555,2.1966114416065543,14.0,2.0,4.166666666666667,1.4719601443879744,6.0,2.0,5.0,1.4142135623730951,7.0,3.0,7.884615384615385,2.083205124260112,14.0,6.0,7.803846153846154,1.2473340802256256,10.0,5.0,MES -14,MES -1,14,1,7.889130434782608,1.7306392712909857,14.0,5.0,2.0,0.0,2.0,2.0,0,5,Fraude
5348597,Plan 204,Estrato 3,6.253333333333334,3.9604393695649476,16.0,0.0,3.6666666666666665,3.32665998663324,9.0,0.0,7.714285714285714,5.822779568622009,16.0,1.0,4.384615384615385,3.428762204704528,12.0,0.0,8.086153846153847,1.700776971766818,11.23,5.0,MES -7,MES -3,5,2,6.770666666666667,3.8534416939781106,16.0,0.0,5.0,3.7416573867739413,9.0,0.0,3,5,Normal
